sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AC;BUJARI;JOSÉ ESTEPHAN BARBARY FILHO;Deputado Federal;1122;PP;1;Eleito;7210;45;2022-11-14 18:47:07
AC;BUJARI;JOSÉ JANES GOMES DA SILVA;Deputado Federal;7789;SOLIDARIEDADE;1;Não Eleito;7210;16;2022-11-14 18:47:07
AC;BUJARI;JOSÉ LUIS SCHAFER;Deputado Estadual;12123;PDT;1;Eleito;7241;343;2022-11-14 18:47:07
AC;BUJARI;JOSÉ MANOEL DOS SANTOS;Deputado Federal;4533;PSDB;1;Não Eleito;7210;0;2022-11-14 18:47:07
AC;BUJARI;JOSÉ MASTRANGELO FILHO;Deputado Estadual;12000;PDT;1;Suplente;7241;1;2022-11-14 18:47:07
AC;BUJARI;JOSÉ NILTON MELO DE OLIVEIRA;Deputado Estadual;23777;CIDADANIA;1;Suplente;7241;4;2022-11-14 18:47:07
AC;BUJARI;JOSÉ NUNES DA CRUZ;Deputado Federal;6565;PC do B;1;Não Eleito;7210;6;2022-11-14 18:47:07
AC;BUJARI;JOSÉ RAIMUNDO BARROSO BESTENE;Deputado Estadual;11106;PP;1;Suplente;7241;48;2022-11-14 18:47:07
AC;BUJARI;JOSÉ RIBAMAR FERNANDES DE LIMA;Deputado Federal;3322;PMN;1;Não Eleito;7210;0;2022-11-14 18:47:07
AC;BUJARI;JOSÉ ROMILDO DA SILVA;Deputado Estadual;40777;PSB;1;Suplente;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOSÉ TANACA DA SILVA FERREIRA;Deputado Estadual;15010;MDB;1;Suplente;7241;31;2022-11-14 18:47:07
AC;BUJARI;JOZINEY ALVES AMORIM;Senador;199;PODE;1;Não Eleito;6765;1326;2022-11-14 18:47:07
AC;BUJARI;JOÃO BENTO FERREIRA DA SILVA;Deputado Estadual;90333;PROS;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOÃO CARLOS DE ANDRADE PEREIRA;Deputado Estadual;11332;PP;1;Suplente;7241;3;2022-11-14 18:47:07
AC;BUJARI;JOÃO FRANCISCO FERREIRA;Deputado Estadual;44200;UNIÃO;1;Suplente;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOÃO RAIMUNDO ARAÚJO DE MELO;Deputado Estadual;13234;PT;1;Suplente;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOÃO RICARDO PERES LEORNE;Deputado Federal;4522;PSDB;1;Não Eleito;7210;6;2022-11-14 18:47:07
AC;BUJARI;JUAN CARLOS UYENO BARROSO;Deputado Estadual;51111;PATRIOTA;1;Não Eleito;7241;7;2022-11-14 18:47:07
AC;BUJARI;JUDSON BARROS PEREIRA;Deputado Estadual;55321;PSD;1;Suplente;7241;6;2022-11-14 18:47:07
AC;BUJARI;JUNIOR MOREIRA DA SILVA;Deputado Estadual;15222;MDB;1;Suplente;7241;5;2022-11-14 18:47:07
AC;BUJARI;JURANDIR FERREIRA DA SILVA;Deputado Estadual;36123;AGIR;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;JUSCYHELISON OLIVEIRA ROSA TAVARES;Deputado Estadual;22111;PL;1;Suplente;7241;6;2022-11-14 18:47:07
AC;BUJARI;KATIA CILENE CORREIA DOS SANTOS;Deputado Estadual;77890;SOLIDARIEDADE;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;KATIANE SANTIAGO SANTOS VENTURA;Deputado Estadual;10123;REPUBLICANOS;1;Suplente;7241;52;2022-11-14 18:47:07
AC;BUJARI;KATIANNY DA SILVA ARAÚJO;Deputado Federal;1023;REPUBLICANOS;1;Suplente;7210;0;2022-11-14 18:47:07
AC;BUJARI;KEILIANE NUNES DE MELO CORDEIRO;Deputado Federal;1022;REPUBLICANOS;1;Suplente;7210;88;2022-11-14 18:47:07
AC;BUJARI;KELLY CRISTINA SILVA DE SOUZA OLIVEIRA;Deputado Estadual;15001;MDB;1;Suplente;7241;0;2022-11-14 18:47:07
AC;BUJARI;KELMON LUIS DA SILVA SOUZA;Presidente;14;PTB;1;Não Eleito;7263;9;2022-11-14 18:47:07
AC;BUJARI;LANNA CARMEN VAZ DE ARAUJO;Deputado Federal;4555;PSDB;1;Não Eleito;7210;88;2022-11-14 18:47:07
AC;BUJARI;LAUANA DA SILVA ARAÚJO;Deputado Estadual;77355;SOLIDARIEDADE;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;LEANDRO ARAÚJO FEITOSA DO NASCIMENTO;Deputado Estadual;50233;PSOL;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;LEILA MARIA HOLANDA DA CONCEIÇÃO;Deputado Federal;1911;PODE;1;Não Eleito;7210;8;2022-11-14 18:47:07
AC;BUJARI;LEONARDO CUNHA DE BRITO;Deputado Federal;1331;PT;1;Não Eleito;7210;273;2022-11-14 18:47:07
AC;BUJARI;LEONARDO PÉRICLES VIEIRA ROQUE;Presidente;80;UP;1;Não Eleito;7263;0;2022-11-14 18:47:07
AC;BUJARI;LEONCIO TEMOTEO DE CASTRO;Deputado Estadual;51444;PATRIOTA;1;Não Eleito;7241;12;2022-11-14 18:47:07
AC;BUJARI;LEOPARDO SALES;Deputado Estadual;12200;PDT;1;Suplente;7241;2;2022-11-14 18:47:07
AC;BUJARI;LETICIA LUIZA;Deputado Estadual;90234;PROS;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;LETICIA SANTOS DA SILVA;Deputado Estadual;65234;PC do B;1;Suplente;7241;3;2022-11-14 18:47:07
